S.No	RIO	State	District	Assembly Constituency	Mandal	Gram Panchayat
1	Adilabad	Telangana	Adilabad	Adilabad	Adilabad Rural	Allikori
2	Adilabad	Telangana	Adilabad	Adilabad	Adilabad Rural	Ankapur
3	Adilabad	Telangana	Adilabad	Adilabad	Adilabad Rural	Ankoli	504002
4	Adilabad	Telangana	Adilabad	Adilabad	Adilabad Rural	Arli-B
5	Adilabad	Telangana	Adilabad	Adilabad	Adilabad Rural	Ashodha
6	Adilabad	Telangana	Adilabad	Adilabad	Adilabad Rural	Bheemseri
7	Adilabad	Telangana	Adilabad	Adilabad	Adilabad Rural	Burnur
8	Adilabad	Telangana	Adilabad	Adilabad	Adilabad Rural	Chanda
9	Adilabad	Telangana	Adilabad	Adilabad	Adilabad Rural	Chichdhari
10	Adilabad	Telangana	Adilabad	Adilabad	Adilabad Rural	Chinchughat	504002
11	Adilabad	Telangana	Adilabad	Adilabad	Adilabad Rural	Chityalbori
12	Adilabad	Telangana	Adilabad	Adilabad	Adilabad Rural	Dimma
13	Adilabad	Telangana	Adilabad	Adilabad	Adilabad Rural	Hathigutta
14	Adilabad	Telangana	Adilabad	Adilabad	Adilabad Rural	Jamdapur
15	Adilabad	Telangana	Adilabad	Adilabad	Adilabad Rural	Kachikanti
16	Adilabad	Telangana	Adilabad	Adilabad	Adilabad Rural	Khanapur-CH
17	Adilabad	Telangana	Adilabad	Adilabad	Adilabad Rural	Khandala
18	Adilabad	Telangana	Adilabad	Adilabad	Adilabad Rural	Kumbhajhari
19	Adilabad	Telangana	Adilabad	Adilabad	Adilabad Rural	Landasangvi
20	Adilabad	Telangana	Adilabad	Adilabad	Adilabad Rural	Linguguda
21	Adilabad	Telangana	Adilabad	Adilabad	Adilabad Rural	Lohara
22	Adilabad	Telangana	Adilabad	Adilabad	Adilabad Rural	Lokari
23	Adilabad	Telangana	Adilabad	Adilabad	Adilabad Rural	Mamidiguda
24	Adilabad	Telangana	Adilabad	Adilabad	Adilabad Rural	Pedda Maleborigaon
25	Adilabad	Telangana	Adilabad	Adilabad	Adilabad Rural	Pippaldhari	504002
26	Adilabad	Telangana	Adilabad	Adilabad	Adilabad Rural	Pochera	504002
27	Adilabad	Telangana	Adilabad	Adilabad	Adilabad Rural	Thantholi
28	Adilabad	Telangana	Adilabad	Adilabad	Adilabad Rural	Tippa
29	Adilabad	Telangana	Adilabad	Adilabad	Adilabad Rural	Wanwat
30	Adilabad	Telangana	Adilabad	Adilabad	Adilabad Rural	Yapalguda	504002
31	Adilabad	Telangana	Adilabad	Adilabad	Adilabad Rural	Yeshwanthguda
32	Adilabad	Telangana	Adilabad	Boath (ST)	Bazarhathnoor	Ananthapur
33	Adilabad	Telangana	Adilabad	Boath (ST)	Bazarhathnoor	Andhuguda
34	Adilabad	Telangana	Adilabad	Boath (ST)	Bazarhathnoor	Bazarhathnoor
35	Adilabad	Telangana	Adilabad	Boath (ST)	Bazarhathnoor	Bhosra
36	Adilabad	Telangana	Adilabad	Boath (ST)	Bazarhathnoor	Bhutai - B
37	Adilabad	Telangana	Adilabad	Boath (ST)	Bazarhathnoor	Bhutai - K
38	Adilabad	Telangana	Adilabad	Boath (ST)	Bazarhathnoor	Burkapally
39	Adilabad	Telangana	Adilabad	Boath (ST)	Bazarhathnoor	Chandunaik Thanda
40	Adilabad	Telangana	Adilabad	Boath (ST)	Bazarhathnoor	Chintalsangive
41	Adilabad	Telangana	Adilabad	Boath (ST)	Bazarhathnoor	Dedra
42	Adilabad	Telangana	Adilabad	Boath (ST)	Bazarhathnoor	Dharampuri
43	Adilabad	Telangana	Adilabad	Boath (ST)	Bazarhathnoor	Dehgaon
44	Adilabad	Telangana	Adilabad	Boath (ST)	Bazarhathnoor	Dignoor
45	Adilabad	Telangana	Adilabad	Boath (ST)	Bazarhathnoor	Gangapur
46	Adilabad	Telangana	Adilabad	Boath (ST)	Bazarhathnoor	Girjai
47	Adilabad	Telangana	Adilabad	Boath (ST)	Bazarhathnoor	Girnoor
48	Adilabad	Telangana	Adilabad	Boath (ST)	Bazarhathnoor	Gokonda
49	Adilabad	Telangana	Adilabad	Boath (ST)	Bazarhathnoor	Gulab Thanda
50	Adilabad	Telangana	Adilabad	Boath (ST)	Bazarhathnoor	Harkai
51	Adilabad	Telangana	Adilabad	Boath (ST)	Bazarhathnoor	Jatharla
52	Adilabad	Telangana	Adilabad	Boath (ST)	Bazarhathnoor	Kandly
53	Adilabad	Telangana	Adilabad	Boath (ST)	Bazarhathnoor	Kinnerpally
54	Adilabad	Telangana	Adilabad	Boath (ST)	Bazarhathnoor	Kolahari
55	Adilabad	Telangana	Adilabad	Boath (ST)	Bazarhathnoor	Manjram Thanda
56	Adilabad	Telangana	Adilabad	Boath (ST)	Bazarhathnoor	Mankapur
57	Adilabad	Telangana	Adilabad	Boath (ST)	Bazarhathnoor	Morkhandi
58	Adilabad	Telangana	Adilabad	Boath (ST)	Bazarhathnoor	Pipri	504307
59	Adilabad	Telangana	Adilabad	Boath (ST)	Bazarhathnoor	Rampur
60	Adilabad	Telangana	Adilabad	Boath (ST)	Bazarhathnoor	Tembi
61	Adilabad	Telangana	Adilabad	Boath (ST)	Bazarhathnoor	Warthamanoor
62	Adilabad	Telangana	Adilabad	Boath (ST)	Bazarhathnoor	Yesapur
63	Adilabad	Telangana	Adilabad	Adilabad	Bela	Awalpur
64	Adilabad	Telangana	Adilabad	Adilabad	Bela	Bela
65	Adilabad	Telangana	Adilabad	Adilabad	Bela	Bhadi
66	Adilabad	Telangana	Adilabad	Adilabad	Bela	Bhavaniguda
67	Adilabad	Telangana	Adilabad	Adilabad	Bela	Bhedoda (Kopsi)
68	Adilabad	Telangana	Adilabad	Adilabad	Bela	Bhedoda
69	Adilabad	Telangana	Adilabad	Adilabad	Bela	Chandpally
70	Adilabad	Telangana	Adilabad	Adilabad	Bela	Chaprala
71	Adilabad	Telangana	Adilabad	Adilabad	Bela	Dahegoan
72	Adilabad	Telangana	Adilabad	Adilabad	Bela	Dhoptala
73	Adilabad	Telangana	Adilabad	Adilabad	Bela	Ekori
74	Adilabad	Telangana	Adilabad	Adilabad	Bela	Ganeshpur
75	Adilabad	Telangana	Adilabad	Adilabad	Bela	Guda
76	Adilabad	Telangana	Adilabad	Adilabad	Bela	Junoni
77	Adilabad	Telangana	Adilabad	Adilabad	Bela	Khogdur
78	Adilabad	Telangana	Adilabad	Adilabad	Bela	Kobhai
79	Adilabad	Telangana	Adilabad	Adilabad	Bela	Mangrood
80	Adilabad	Telangana	Adilabad	Adilabad	Bela	Maniyarpur
81	Adilabad	Telangana	Adilabad	Adilabad	Bela	Masala- B
82	Adilabad	Telangana	Adilabad	Adilabad	Bela	Masala- K
83	Adilabad	Telangana	Adilabad	Adilabad	Bela	Patan
84	Adilabad	Telangana	Adilabad	Adilabad	Bela	Pitgaon (L)
85	Adilabad	Telangana	Adilabad	Adilabad	Bela	Pohar
86	Adilabad	Telangana	Adilabad	Adilabad	Bela	Ponala
87	Adilabad	Telangana	Adilabad	Adilabad	Bela	Sadalpur
88	Adilabad	Telangana	Adilabad	Adilabad	Bela	Sangidi
89	Adilabad	Telangana	Adilabad	Adilabad	Bela	Shamshabad
90	Adilabad	Telangana	Adilabad	Adilabad	Bela	Sirsanna
91	Adilabad	Telangana	Adilabad	Adilabad	Bela	Sonkhos
92	Adilabad	Telangana	Adilabad	Adilabad	Bela	Takli
93	Adilabad	Telangana	Adilabad	Adilabad	Bela	Warur
94	Adilabad	Telangana	Adilabad	Boath (ST)	Bheempur	Andarband
95	Adilabad	Telangana	Adilabad	Boath (ST)	Bheempur	Antargaon
96	Adilabad	Telangana	Adilabad	Boath (ST)	Bheempur	Arli (T)
97	Adilabad	Telangana	Adilabad	Boath (ST)	Bheempur	Belsari Rampur
98	Adilabad	Telangana	Adilabad	Boath (ST)	Bheempur	Bhagwanpur
99	Adilabad	Telangana	Adilabad	Boath (ST)	Bheempur	Bheempur
