"S.
No",District,Assembly constituency,Corporation/Municipality,Ward Number,Male,Female,Other,Total Voters,parliament constituency,5243023,AC Reservation
1,Adilabad,Adilabad,Adilabad Municipality,1,1440,1435,0,2875,Adilabad,,
2,Adilabad,Adilabad,Adilabad Municipality,2,1557,1637,0,3194,Adilabad,,
3,Adilabad,Adilabad,Adilabad Municipality,3,1329,1429,0,2758,Adilabad,,
4,Adilabad,Adilabad,Adilabad Municipality,4,1766,2064,2,3832,Adilabad,,
5,Adilabad,Adilabad,Adilabad Municipality,5,1354,1476,0,2830,Adilabad,,
6,Adilabad,Adilabad,Adilabad Municipality,6,1442,1491,0,2933,Adilabad,,
7,Adilabad,Adilabad,Adilabad Municipality,7,1455,1644,0,3099,Adilabad,,
8,Adilabad,Adilabad,Adilabad Municipality,8,1551,1679,0,3230,Adilabad,,
9,Adilabad,Adilabad,Adilabad Municipality,9,1240,1380,0,2620,Adilabad,,
10,Adilabad,Adilabad,Adilabad Municipality,10,1481,1613,0,3094,Adilabad,,
11,Adilabad,Adilabad,Adilabad Municipality,11,1392,1438,1,2831,Adilabad,,
12,Adilabad,Adilabad,Adilabad Municipality,12,1562,1635,0,3197,Adilabad,,
13,Adilabad,Adilabad,Adilabad Municipality,13,1409,1454,0,2863,Adilabad,,
14,Adilabad,Adilabad,Adilabad Municipality,14,1466,1511,0,2977,Adilabad,,
15,Adilabad,Adilabad,Adilabad Municipality,15,1530,1650,0,3180,Adilabad,,
16,Adilabad,Adilabad,Adilabad Municipality,16,1717,1782,1,3500,Adilabad,,
17,Adilabad,Adilabad,Adilabad Municipality,17,1280,1395,0,2675,Adilabad,,
18,Adilabad,Adilabad,Adilabad Municipality,18,1294,1343,1,2638,Adilabad,,
19,Adilabad,Adilabad,Adilabad Municipality,19,1520,1533,0,3053,Adilabad,,
20,Adilabad,Adilabad,Adilabad Municipality,20,1385,1416,0,2801,Adilabad,,
21,Adilabad,Adilabad,Adilabad Municipality,21,1521,1642,0,3163,Adilabad,,
22,Adilabad,Adilabad,Adilabad Municipality,22,1520,1688,0,3208,Adilabad,,
23,Adilabad,Adilabad,Adilabad Municipality,23,1389,1478,0,2867,Adilabad,,
24,Adilabad,Adilabad,Adilabad Municipality,24,1375,1392,0,2767,Adilabad,,
25,Adilabad,Adilabad,Adilabad Municipality,25,1272,1404,0,2676,Adilabad,,
26,Adilabad,Adilabad,Adilabad Municipality,26,1530,1592,0,3122,Adilabad,,
27,Adilabad,Adilabad,Adilabad Municipality,27,1214,1344,0,2558,Adilabad,,
28,Adilabad,Adilabad,Adilabad Municipality,28,1337,1512,0,2849,Adilabad,,
29,Adilabad,Adilabad,Adilabad Municipality,29,1448,1495,0,2943,Adilabad,,
30,Adilabad,Adilabad,Adilabad Municipality,30,1603,1651,0,3254,Adilabad,,
31,Adilabad,Adilabad,Adilabad Municipality,31,1461,1497,0,2958,Adilabad,,
32,Adilabad,Adilabad,Adilabad Municipality,32,1714,1810,0,3524,Adilabad,,
33,Adilabad,Adilabad,Adilabad Municipality,33,1103,1296,0,2399,Adilabad,,
34,Adilabad,Adilabad,Adilabad Municipality,34,1303,1381,0,2684,Adilabad,,
35,Adilabad,Adilabad,Adilabad Municipality,35,1583,1687,0,3270,Adilabad,,
36,Adilabad,Adilabad,Adilabad Municipality,36,1490,1582,1,3073,Adilabad,,
37,Adilabad,Adilabad,Adilabad Municipality,37,1140,1234,0,2374,Adilabad,,
38,Adilabad,Adilabad,Adilabad Municipality,38,1663,1642,0,3305,Adilabad,,
39,Adilabad,Adilabad,Adilabad Municipality,39,1481,1596,0,3077,Adilabad,,
40,Adilabad,Adilabad,Adilabad Municipality,40,1472,1521,0,2993,Adilabad,,
41,Adilabad,Adilabad,Adilabad Municipality,41,1433,1412,0,2845,Adilabad,,
42,Adilabad,Adilabad,Adilabad Municipality,42,1323,1380,0,2703,Adilabad,,
43,Adilabad,Adilabad,Adilabad Municipality,43,1401,1489,0,2890,Adilabad,,
44,Adilabad,Adilabad,Adilabad Municipality,44,1685,1788,0,3473,Adilabad,,
45,Adilabad,Adilabad,Adilabad Municipality,45,1278,1233,0,2511,Adilabad,,
46,Adilabad,Adilabad,Adilabad Municipality,46,1268,1303,0,2571,Adilabad,,
47,Adilabad,Adilabad,Adilabad Municipality,47,1217,1270,0,2487,Adilabad,,
48,Adilabad,Adilabad,Adilabad Municipality,48,1165,1193,0,2358,Adilabad,,
49,Adilabad,Adilabad,Adilabad Municipality,49,1254,1319,0,2573,Adilabad,,
50,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,1,1088,1187,0,2275,Khammam,,
51,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,2,1102,1168,0,2270,Khammam,,
52,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,3,1142,1281,0,2423,Khammam,,
53,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,4,1194,1209,0,2403,Khammam,,
