S.No.,District,Assembly constituency,Mandal,Gram Panchayat,No of Wards,Male,Female,Others,Total Voters,AC No.,GP reserved for
1,Adilabad,Adilabad,Adilabad Rural,Allikori,6,172,205,0,377,7,ST (W)
2,Adilabad,Adilabad,Adilabad Rural,Ankapur,8,371,416,0,787,7,ST (W)
3,Adilabad,Adilabad,Adilabad Rural,Ankoli,10,1056,1121,0,2177,7,ST (M/W)
4,Adilabad,Adilabad,Adilabad Rural,Arli-B,8,414,436,0,850,7,BC (W)
5,Adilabad,Adilabad,Adilabad Rural,Ashodha,8,173,172,0,345,7,ST (M/W)
6,Adilabad,Adilabad,Adilabad Rural,Bheemseri,10,1022,1065,0,2087,7,BC (M/W)
7,Adilabad,Adilabad,Adilabad Rural,Burnur,8,215,225,0,440,7,ST (M/W)
8,Adilabad,Adilabad,Adilabad Rural,Chanda,10,1158,1257,0,2415,7,UR (M/W)
9,Adilabad,Adilabad,Adilabad Rural,Chichdhari,8,280,302,0,582,7,ST (M/W)
10,Adilabad,Adilabad,Adilabad Rural,Chinchughat,8,328,333,0,661,7,ST (W)
11,Adilabad,Adilabad,Adilabad Rural,Chityalbori,8,140,165,0,305,7,UR (W)
12,Adilabad,Adilabad,Adilabad Rural,Dimma,6,138,156,0,294,7,UR (M/W)
13,Adilabad,Adilabad,Adilabad Rural,Hathigutta,8,128,126,0,254,7,ST (W)
14,Adilabad,Adilabad,Adilabad Rural,Jamdapur,8,531,604,0,1135,7,SC (W)
15,Adilabad,Adilabad,Adilabad Rural,Kachikanti,8,440,473,0,913,7,UR (M/W)
16,Adilabad,Adilabad,Adilabad Rural,Khanapur-CH,8,348,370,0,718,7,ST (W)
17,Adilabad,Adilabad,Adilabad Rural,Khandala,10,507,559,0,1066,7,ST (W)
18,Adilabad,Adilabad,Adilabad Rural,Kumbhajhari,8,217,245,0,462,7,ST (M/W)
19,Adilabad,Adilabad,Adilabad Rural,Landasangvi,10,678,708,0,1386,7,UR (M/W)
20,Adilabad,Adilabad,Adilabad Rural,Linguguda,8,238,261,0,499,7,ST (W)
21,Adilabad,Adilabad,Adilabad Rural,Lohara,8,312,313,0,625,7,ST (M/W)
22,Adilabad,Adilabad,Adilabad Rural,Lokari,8,410,419,0,829,7,ST (M/W)
23,Adilabad,Adilabad,Adilabad Rural,Mamidiguda,8,475,481,0,956,7,ST (W)
24,Adilabad,Adilabad,Adilabad Rural,Pedda Maleborigaon,8,309,318,0,627,7,ST (M/W)
25,Adilabad,Adilabad,Adilabad Rural,Pippaldhari,8,460,475,0,935,7,ST (M/W)
26,Adilabad,Adilabad,Adilabad Rural,Pochera,8,500,564,0,1064,7,SC (M/W)
